model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates
climatology,1,pooled,winter_only,mae,0.8286977696882422,0.749137751540466,0.9081909332697257,0.041400221126425704,1000
climatology,1,pooled,winter_only,rmse,0.9941703188619865,0.906546121450965,1.0769043522475044,0.04485777105256103,1000
climatology,1,pooled,winter_only,pearson_r,-0.12182912348155554,-0.23348892198946233,-0.025516924885544308,0.054324391027561744,1000
climatology,1,pooled,winter_only,acc,,,,,1000
climatology,1,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,pooled,winter_only,msss_vs_persistence,-0.9622382118828263,-1.5868006443487492,-0.49382631704318575,0.274683272350246,1000
persistence,1,pooled,winter_only,mae,0.5508059027750101,0.4879485554488224,0.6165292659103772,0.03278324673992789,1000
persistence,1,pooled,winter_only,rmse,0.7097165433795117,0.6368983883927706,0.7817098554262611,0.037579116456307904,1000
persistence,1,pooled,winter_only,pearson_r,0.7193301145149908,0.6401484765749572,0.7796366551476382,0.03442479477975989,1000
persistence,1,pooled,winter_only,acc,0.7214609503465781,0.6451740768729517,0.7816504670452542,0.03390581344127705,1000
persistence,1,pooled,winter_only,msss_vs_climatology,0.4903778787181654,0.3305781336073101,0.6134220490845373,0.0707823394971222,1000
persistence,1,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,1,pooled,winter_only,mae,0.5077997135741072,0.46442627550894106,0.5485919146579034,0.0220790361437127,1000
ar,1,pooled,winter_only,rmse,0.6230151109492155,0.5713883125224801,0.6678993007695573,0.02490679224187096,1000
ar,1,pooled,winter_only,pearson_r,0.7659557002150633,0.7040428200450639,0.8189950741204801,0.02968128281659042,1000
ar,1,pooled,winter_only,acc,0.7713130895819225,0.7119592763449066,0.8226465243521317,0.028591815667545376,1000
ar,1,pooled,winter_only,msss_vs_climatology,0.6072867316951319,0.531624732032079,0.6723158578228208,0.03560660822960266,1000
ar,1,pooled,winter_only,msss_vs_persistence,0.22940301861879508,0.0960910273660955,0.3342968113747257,0.05887202823532525,1000
ols,1,pooled,winter_only,mae,0.44511508223641916,0.4040024013006204,0.48768098712491303,0.022013607587679382,1000
ols,1,pooled,winter_only,rmse,0.5523542849173828,0.5005619316235459,0.6006964523089188,0.02641764518290483,1000
ols,1,pooled,winter_only,pearson_r,0.8109654877708372,0.752305113832357,0.8544742870622003,0.026369887484783323,1000
ols,1,pooled,winter_only,acc,0.8146058849933644,0.7578975310893745,0.8573045243668483,0.025376657231300833,1000
ols,1,pooled,winter_only,msss_vs_climatology,0.6913161781010588,0.605250245252127,0.757305399217007,0.03808384900190071,1000
